respondent_id,Q6,Q7,Q8,Q9,Q11,Q12,Q13,Q14,Q16,Q17,Q18,Q19,Q20,Q21,song_position,song_from_response,Artist Name(s),Track Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,is_home_song,home_song_count
54,yes,Finland,3–6 months,Female,Neither home nor NL,,3- Neutral,5 - Strongly increased,3,2,2,3,3,3,1,All wound up - She wants revenge,She Wants Revenge,224863,63,0.748,0.747,0,-3.62,1,0.0386,0.00131,0.000288,0.434,0.696,119.965,4,False,0
54,yes,Finland,3–6 months,Female,Neither home nor NL,,3- Neutral,5 - Strongly increased,3,2,2,3,3,3,2,Your slut - BJ lips,"BJ Lips, Mika Montag",122618,64,0.734,0.525,11,-13.658,1,0.0389,0.0122,0.0,0.338,0.627,114.018,4,False,0
54,yes,Finland,3–6 months,Female,Neither home nor NL,,3- Neutral,5 - Strongly increased,3,2,2,3,3,3,3,Love potions - BJ lips,"BJ Lips, princess paparazzi",173168,78,0.66,0.833,11,-5.837,1,0.0331,0.091,0.0,0.203,0.451,121.982,4,False,0
57,yes,Finland,less than 3 months,Male,Neither home nor NL,,5- Entirely,3- No change,3,4,4,4,4,4,1,HH,"Kojoe, Olive Oil",334213,1,0.294,0.938,10,-4.903,0,0.228,0.316,0.00057,0.491,0.41,176.248,4,False,0
57,yes,Finland,less than 3 months,Male,Neither home nor NL,,5- Entirely,3- No change,3,4,4,4,4,4,2,WW3,"poptropicaslutz!, RIZ LA VIE, grandma",152796,35,0.696,0.874,10,-3.508,1,0.044,0.0208,0.0,0.161,0.657,117.974,4,False,0
57,yes,Finland,less than 3 months,Male,Neither home nor NL,,5- Entirely,3- No change,3,4,4,4,4,4,3,I wonder ,Kanye West,243440,83,0.542,0.466,0,-8.668,1,0.0824,0.141,0.000444,0.125,0.127,191.386,4,False,0
58,yes,Taiwan,more than 2 years,Female,Neither home nor NL,,3- Neutral,5 - Strongly increased,5,5,6,6,6,6,1,The Happiest Girl ,BLACKPINK,222025,47,0.439,0.352,0,-9.632,1,0.057,0.587,0.0,0.14,0.548,181.517,3,False,0
58,yes,Taiwan,more than 2 years,Female,Neither home nor NL,,3- Neutral,5 - Strongly increased,5,5,6,6,6,6,2,Malibu Nights,LANY,286928,75,0.559,0.422,11,-11.89,1,0.195,0.701,1.99e-06,0.0853,0.191,74.002,4,False,0
58,yes,Taiwan,more than 2 years,Female,Neither home nor NL,,3- Neutral,5 - Strongly increased,5,5,6,6,6,6,3,more,keshi,183543,50,0.517,0.69,5,-5.166,1,0.0424,0.566,0.0,0.414,0.411,160.008,4,False,0
59,yes,United States of America,3–6 months,Female,Neither home nor NL,,3- Neutral,1- Strongly decreased,6,5,7 - Strongly agree,3,4,5,1,Baliando,"Enrique Iglesias, Descemer Bueno, Gente De Zona",242920,80,0.729,0.781,7,-3.501,1,0.0954,0.0461,1.97e-06,0.0389,0.961,91.019,4,False,0
59,yes,United States of America,3–6 months,Female,Neither home nor NL,,3- Neutral,1- Strongly decreased,6,5,7 - Strongly agree,3,4,5,2,Luna,The Smashing Pumpkins,202320,70,0.574,0.274,9,-13.553,1,0.0286,0.0111,0.786,0.123,0.111,125.652,4,False,0
59,yes,United States of America,3–6 months,Female,Neither home nor NL,,3- Neutral,1- Strongly decreased,6,5,7 - Strongly agree,3,4,5,3,Bara Bara Bastu,KAJ,166880,67,0.757,0.889,9,-4.729,0,0.0788,0.0754,2.32e-05,0.0397,0.754,106.037,4,False,0
60,yes,Finland,less than 3 months,Non-binary / third gender,Neither home nor NL,,3- Neutral,4- Slightly increased,5,3,4,7 - Strongly agree,4,2,1,Down Under —&gt; Luude,"Luude, Colin Hay",158774,70,0.308,0.861,11,-4.112,0,0.172,0.012,0.00103,0.277,0.0386,171.966,4,False,0
60,yes,Finland,less than 3 months,Non-binary / third gender,Neither home nor NL,,3- Neutral,4- Slightly increased,5,3,4,7 - Strongly agree,4,2,2,Pt.2 —&gt; Kanye East,Kanye West,130293,63,0.674,0.752,11,-4.073,1,0.333,0.552,0.0,0.787,0.236,145.076,4,False,0
60,yes,Finland,less than 3 months,Non-binary / third gender,Neither home nor NL,,3- Neutral,4- Slightly increased,5,3,4,7 - Strongly agree,4,2,3,Suicidal —&gt; Juice WrLd,"YNW Melly, Juice WRLD",225857,73,0.655,0.441,9,-5.245,0,0.0629,0.474,0.0,0.099,0.273,139.957,4,False,0
62,yes,Ukraine,more than 2 years,Female,Neither home nor NL,,2- Slightly,5 - Strongly increased,7 - Strongly agree,7 - Strongly agree,4,4,7 - Strongly agree,7 - Strongly agree,1,Miss possessive,Tate McRae,139098,75,0.782,0.747,8,-4.656,1,0.0361,0.259,1.85e-05,0.1,0.325,101.992,4,False,0
62,yes,Ukraine,more than 2 years,Female,Neither home nor NL,,2- Slightly,5 - Strongly increased,7 - Strongly agree,7 - Strongly agree,4,4,7 - Strongly agree,7 - Strongly agree,2,No I'm not in love,Tate McRae,170097,59,0.753,0.748,5,-3.585,0,0.0452,0.38,0.0,0.185,0.882,105.069,4,False,0
62,yes,Ukraine,more than 2 years,Female,Neither home nor NL,,2- Slightly,5 - Strongly increased,7 - Strongly agree,7 - Strongly agree,4,4,7 - Strongly agree,7 - Strongly agree,3,Sports car,Tate McRae,165045,79,0.863,0.804,11,-3.685,0,0.0346,0.0542,0.000685,0.0946,0.874,106.986,4,False,0
66,yes,Taiwan,1–2 years,Female,Neither home nor NL,,1- Not at all,3- No change,2,1 - Strongly Disagree,3,7 - Strongly agree,1 - Strongly Disagree,1 - Strongly Disagree,1,Dtmf,Bad Bunny,237117,93,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4,False,0
66,yes,Taiwan,1–2 years,Female,Neither home nor NL,,1- Not at all,3- No change,2,1 - Strongly Disagree,3,7 - Strongly agree,1 - Strongly Disagree,1 - Strongly Disagree,2,Tacones rojos ,Sebastian Yatra,189320,70,0.748,0.856,11,-3.517,0,0.0348,0.0824,0.0,0.142,0.927,123.031,4,False,0
66,yes,Taiwan,1–2 years,Female,Neither home nor NL,,1- Not at all,3- No change,2,1 - Strongly Disagree,3,7 - Strongly agree,1 - Strongly Disagree,1 - Strongly Disagree,3,Te Vi ,"Piso 21, Micro TDH",231848,79,0.877,0.777,1,-4.246,1,0.117,0.0446,3.46e-05,0.0863,0.706,102.02,4,False,0
