respondent_id,Q6,Q7,Q8,Q9,Q11,Q12,Q13,Q14,Q16,Q17,Q18,Q19,Q20,Q21,song_position,song_from_response,Artist Name(s),Track Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
37,yes,Taiwan,more than 2 years,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,4,4,3,3,4,3,1,The coast is where home is,AS IT IS,196160,24,0.301,0.909,1,-4.319,0,0.254,0.000413,0.0,0.183,0.326,174.927,4
37,yes,Taiwan,more than 2 years,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,4,4,3,3,4,3,2,Speak Soft X,"AS IT IS, Kellin Quinn",212885,26,0.411,0.976,2,-4.286,1,0.277,0.000169,0.0,0.0982,0.258,159.951,4
37,yes,Taiwan,more than 2 years,Female,Neither home nor NL,,1- Not at all,4- Slightly increased,4,4,3,3,4,3,3,Roses,"The Chainsmokers, ROZES",226738,83,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,4
38,yes,Germany,more than 2 years,Female,Neither home nor NL,,2- Slightly,3- No change,4,3,5,5,4,4,1,So long london,Taylor Swift,262974,69,0.423,0.533,9,-11.388,1,0.322,0.73,0.00264,0.0816,0.248,160.218,4
38,yes,Germany,more than 2 years,Female,Music from my home country/culture,,2- Slightly,3- No change,4,3,5,5,4,4,2,S.o.k.o,"Kinoti, Modest Chabari",177316,24,0.457,0.482,11,-10.031,0,0.0589,0.0374,0.000279,0.127,0.665,94.999,4
38,yes,Germany,more than 2 years,Female,Neither home nor NL,,2- Slightly,3- No change,4,3,5,5,4,4,3,Blackbird,The Beatles,138386,79,0.686,0.127,7,-14.361,1,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,4
41,yes,Taiwan,more than 2 years,Female,Neither home nor NL,,1- Not at all,2-Slightly decreased,2,4,6,7 - Strongly agree,2,2,1,Amphetamin - boyslife ,boylife,120241,34,0.691,0.751,8,-8.222,1,0.426,0.597,0.0165,0.0911,0.633,84.718,4
41,yes,Taiwan,more than 2 years,Female,Neither home nor NL,,1- Not at all,2-Slightly decreased,2,4,6,7 - Strongly agree,2,2,2,Luther,"Kendrick Lamar, SZA",177598,83,0.707,0.575,2,-7.546,1,0.125,0.251,0.0,0.248,0.576,138.008,4
41,yes,Taiwan,more than 2 years,Female,Neither home nor NL,,1- Not at all,2-Slightly decreased,2,4,6,7 - Strongly agree,2,2,3,Derre-bibi ,BIBI,156474,48,0.84,0.678,9,-6.589,1,0.048,0.0445,0.000388,0.341,0.558,124.964,4
42,yes,China,more than 2 years,Male,Neither home nor NL,,1- Not at all,4- Slightly increased,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1,Fortnight by Taylor Swift. Featuring. Post Malone,"Taylor Swift, Post Malone",228965,82,0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,4
42,yes,China,more than 2 years,Male,Neither home nor NL,,1- Not at all,4- Slightly increased,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,1 - Strongly Disagree,2,NOKIA by Drake,Drake,241023,85,0.537,0.727,5,-4.184,1,0.15,0.247,0.0,0.173,0.508,106.037,4
